Instance,Algorithm,Params,Seed,BestCost,Evaluations,ElapsedMs,BestFoundAt,Timestamp
tai_20_5_0,Random_10000_s0,RandomParameters,0,15335,10000,66.9382,-1,2026-03-19T10:39:59.0739939+00:00
tai_20_5_0,Evolutionary_p100_g100_s0,EvolutionaryParameters,0,14293,10100,82.5713,4842,2026-03-19T10:39:59.1633212+00:00
tai_20_5_0,Greedy,GreedyParameters,,14286,1,10.5163,-1,2026-03-19T10:39:59.1746986+00:00
tai_20_10_0,Random_10000_s0,RandomParameters,0,23273,10000,115.3603,-1,2026-03-19T10:39:59.2976628+00:00
tai_20_10_0,Evolutionary_p100_g100_s0,EvolutionaryParameters,0,21649,10100,165.3025,7180,2026-03-19T10:39:59.4646694+00:00
tai_20_10_0,Greedy,GreedyParameters,,21929,1,1.0565,-1,2026-03-19T10:39:59.4665031+00:00
tai_20_20_0,Random_10000_s0,RandomParameters,0,35672,10000,242.0956,-1,2026-03-19T10:39:59.7092123+00:00
tai_20_20_0,Evolutionary_p100_g100_s0,EvolutionaryParameters,0,34830,10100,299.708,5803,2026-03-19T10:40:00.0104799+00:00
tai_20_20_0,Greedy,GreedyParameters,,34767,1,3.9305,-1,2026-03-19T10:40:00.0161704+00:00
tai_100_10_0,Random_10000_s0,RandomParameters,0,355826,10000,636.4464,-1,2026-03-19T10:40:00.6746309+00:00
tai_100_10_0,Evolutionary_p100_g100_s0,EvolutionaryParameters,0,335564,10100,956.94,9685,2026-03-19T10:40:01.6333797+00:00
tai_100_10_0,Greedy,GreedyParameters,,320314,1,189.433,-1,2026-03-19T10:40:01.8276301+00:00
tai_100_20_0,Random_10000_s0,RandomParameters,0,434094,10000,1346.5074,-1,2026-03-19T10:40:03.1758710+00:00
tai_100_20_0,Evolutionary_p100_g100_s0,EvolutionaryParameters,0,411039,10100,1617.062,9631,2026-03-19T10:40:04.7949664+00:00
tai_100_20_0,Greedy,GreedyParameters,,393331,1,463.4287,-1,2026-03-19T10:40:05.2619044+00:00
tai_500_20_0,Random_10000_s0,RandomParameters,0,7919292,10000,4215.4454,-1,2026-03-19T10:40:09.4782019+00:00
tai_500_20_0,Evolutionary_p100_g100_s0,EvolutionaryParameters,0,7675825,10100,5861.2096,10095,2026-03-19T10:40:15.3538615+00:00
tai_500_20_0,Greedy,GreedyParameters,,6834560,1,16788.0111,-1,2026-03-19T10:40:32.1426362+00:00
