Instance,Algorithm,Params,Seed,BestCost,Evaluations,ElapsedMs,BestFoundAt,Timestamp
tai_20_5_0,SimulatedAnnealing_nSwap_i20000_s22,SimulatedAnnealingParameters,,14368,20000,21.4227,779,2026-03-20T00:19:58.0634189+00:00
tai_20_5_0,SimulatedAnnealing_nSwap_i20000_s151555,SimulatedAnnealingParameters,,14366,20000,18.7154,1587,2026-03-20T00:19:58.0830608+00:00
tai_20_5_0,SimulatedAnnealing_nSwap_i20000_s5252525,SimulatedAnnealingParameters,,14339,20000,19.1852,1273,2026-03-20T00:19:58.1025029+00:00
tai_20_5_0,SimulatedAnnealing_nSwap_i20000_s6687883,SimulatedAnnealingParameters,,14181,20000,18.6473,1411,2026-03-20T00:19:58.1213935+00:00
tai_20_5_0,SimulatedAnnealing_nSwap_i20000_s33331882,SimulatedAnnealingParameters,,14355,20000,19.7381,1173,2026-03-20T00:19:58.1413400+00:00
tai_20_5_0,SimulatedAnnealing_nInsert_i20000_s22,SimulatedAnnealingParameters,,17063,20000,17.8311,460,2026-03-20T00:19:58.1594311+00:00
tai_20_5_0,SimulatedAnnealing_nInsert_i20000_s151555,SimulatedAnnealingParameters,,16209,20000,16.7342,885,2026-03-20T00:19:58.1764815+00:00
tai_20_5_0,SimulatedAnnealing_nInsert_i20000_s5252525,SimulatedAnnealingParameters,,17756,20000,15.5511,61,2026-03-20T00:19:58.1922482+00:00
tai_20_5_0,SimulatedAnnealing_nInsert_i20000_s6687883,SimulatedAnnealingParameters,,16361,20000,16.0294,1364,2026-03-20T00:19:58.2085173+00:00
tai_20_5_0,SimulatedAnnealing_nInsert_i20000_s33331882,SimulatedAnnealingParameters,,16847,20000,16.7984,123,2026-03-20T00:19:58.2255094+00:00
tai_20_5_0,SimulatedAnnealing_nReverse_i20000_s22,SimulatedAnnealingParameters,,14575,20000,19.5523,1137,2026-03-20T00:19:58.2452789+00:00
tai_20_5_0,SimulatedAnnealing_nReverse_i20000_s151555,SimulatedAnnealingParameters,,14389,20000,18.8072,774,2026-03-20T00:19:58.2642948+00:00
tai_20_5_0,SimulatedAnnealing_nReverse_i20000_s5252525,SimulatedAnnealingParameters,,14458,20000,18.476,1244,2026-03-20T00:19:58.2829859+00:00
tai_20_5_0,SimulatedAnnealing_nReverse_i20000_s6687883,SimulatedAnnealingParameters,,14793,20000,19.195,733,2026-03-20T00:19:58.3024085+00:00
tai_20_5_0,SimulatedAnnealing_nReverse_i20000_s33331882,SimulatedAnnealingParameters,,14706,20000,18.9746,1074,2026-03-20T00:19:58.3216016+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i20000_s22,SimulatedAnnealingParameters,,21360,20000,34.3342,928,2026-03-20T00:19:58.3561808+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i20000_s151555,SimulatedAnnealingParameters,,21904,20000,36.0881,493,2026-03-20T00:19:58.3924819+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i20000_s5252525,SimulatedAnnealingParameters,,21711,20000,37.4616,502,2026-03-20T00:19:58.4302089+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i20000_s6687883,SimulatedAnnealingParameters,,22162,20000,36.9981,638,2026-03-20T00:19:58.4674764+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i20000_s33331882,SimulatedAnnealingParameters,,22257,20000,36.2291,213,2026-03-20T00:19:58.5039391+00:00
tai_20_10_0,SimulatedAnnealing_nInsert_i20000_s22,SimulatedAnnealingParameters,,26480,20000,31.35,5,2026-03-20T00:19:58.5355355+00:00
tai_20_10_0,SimulatedAnnealing_nInsert_i20000_s151555,SimulatedAnnealingParameters,,25946,20000,28.0933,656,2026-03-20T00:19:58.5638755+00:00
tai_20_10_0,SimulatedAnnealing_nInsert_i20000_s5252525,SimulatedAnnealingParameters,,23640,20000,28.2244,116,2026-03-20T00:19:58.5925340+00:00
tai_20_10_0,SimulatedAnnealing_nInsert_i20000_s6687883,SimulatedAnnealingParameters,,24081,20000,28.704,281,2026-03-20T00:19:58.6214780+00:00
tai_20_10_0,SimulatedAnnealing_nInsert_i20000_s33331882,SimulatedAnnealingParameters,,25847,20000,28.9619,369,2026-03-20T00:19:58.6506620+00:00
tai_20_10_0,SimulatedAnnealing_nReverse_i20000_s22,SimulatedAnnealingParameters,,23754,20000,34.0253,2706,2026-03-20T00:19:58.6849510+00:00
tai_20_10_0,SimulatedAnnealing_nReverse_i20000_s151555,SimulatedAnnealingParameters,,22774,20000,36.2696,500,2026-03-20T00:19:58.7214770+00:00
tai_20_10_0,SimulatedAnnealing_nReverse_i20000_s5252525,SimulatedAnnealingParameters,,22363,20000,35.3478,447,2026-03-20T00:19:58.7570428+00:00
tai_20_10_0,SimulatedAnnealing_nReverse_i20000_s6687883,SimulatedAnnealingParameters,,22278,20000,36.1582,1090,2026-03-20T00:19:58.7934460+00:00
tai_20_10_0,SimulatedAnnealing_nReverse_i20000_s33331882,SimulatedAnnealingParameters,,22796,20000,34.8306,574,2026-03-20T00:19:58.8285272+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i20000_s22,SimulatedAnnealingParameters,,35347,20000,68.2119,922,2026-03-20T00:19:58.8969650+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i20000_s151555,SimulatedAnnealingParameters,,34704,20000,68.9693,824,2026-03-20T00:19:58.9661738+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i20000_s5252525,SimulatedAnnealingParameters,,34507,20000,68.9236,778,2026-03-20T00:19:59.0353424+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i20000_s6687883,SimulatedAnnealingParameters,,34499,20000,69.8704,809,2026-03-20T00:19:59.1054882+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i20000_s33331882,SimulatedAnnealingParameters,,34779,20000,68.9674,2619,2026-03-20T00:19:59.1747006+00:00
tai_20_20_0,SimulatedAnnealing_nInsert_i20000_s22,SimulatedAnnealingParameters,,35660,20000,50.9995,4,2026-03-20T00:19:59.2260259+00:00
tai_20_20_0,SimulatedAnnealing_nInsert_i20000_s151555,SimulatedAnnealingParameters,,35660,20000,50.958,4,2026-03-20T00:19:59.2772859+00:00
tai_20_20_0,SimulatedAnnealing_nInsert_i20000_s5252525,SimulatedAnnealingParameters,,35660,20000,50.243,5,2026-03-20T00:19:59.3278145+00:00
tai_20_20_0,SimulatedAnnealing_nInsert_i20000_s6687883,SimulatedAnnealingParameters,,35660,20000,51.4783,3,2026-03-20T00:19:59.3796501+00:00
tai_20_20_0,SimulatedAnnealing_nInsert_i20000_s33331882,SimulatedAnnealingParameters,,35660,20000,52.5784,6,2026-03-20T00:19:59.4325505+00:00
tai_20_20_0,SimulatedAnnealing_nReverse_i20000_s22,SimulatedAnnealingParameters,,35689,20000,68.7635,4724,2026-03-20T00:19:59.5015795+00:00
tai_20_20_0,SimulatedAnnealing_nReverse_i20000_s151555,SimulatedAnnealingParameters,,35463,20000,72.3978,922,2026-03-20T00:19:59.5742539+00:00
tai_20_20_0,SimulatedAnnealing_nReverse_i20000_s5252525,SimulatedAnnealingParameters,,35274,20000,69.7258,1324,2026-03-20T00:19:59.6442633+00:00
tai_20_20_0,SimulatedAnnealing_nReverse_i20000_s6687883,SimulatedAnnealingParameters,,35799,20000,73.6791,1138,2026-03-20T00:19:59.7181832+00:00
tai_20_20_0,SimulatedAnnealing_nReverse_i20000_s33331882,SimulatedAnnealingParameters,,34979,20000,71.4466,634,2026-03-20T00:19:59.7899238+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i20000_s22,SimulatedAnnealingParameters,,310993,20000,147.7141,19125,2026-03-20T00:19:59.9378579+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i20000_s151555,SimulatedAnnealingParameters,,311235,20000,149.5691,18733,2026-03-20T00:20:00.0877020+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i20000_s5252525,SimulatedAnnealingParameters,,310545,20000,146.5387,19289,2026-03-20T00:20:00.2345543+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i20000_s6687883,SimulatedAnnealingParameters,,311676,20000,145.8197,17276,2026-03-20T00:20:00.3807014+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i20000_s33331882,SimulatedAnnealingParameters,,316610,20000,147.0024,19417,2026-03-20T00:20:00.5279668+00:00
tai_100_10_0,SimulatedAnnealing_nInsert_i20000_s22,SimulatedAnnealingParameters,,381781,20000,137.2822,17840,2026-03-20T00:20:00.6655778+00:00
tai_100_10_0,SimulatedAnnealing_nInsert_i20000_s151555,SimulatedAnnealingParameters,,385358,20000,129.5191,3281,2026-03-20T00:20:00.7953667+00:00
tai_100_10_0,SimulatedAnnealing_nInsert_i20000_s5252525,SimulatedAnnealingParameters,,393628,20000,147.1003,7210,2026-03-20T00:20:00.9427486+00:00
