Instance,Algorithm,Params,Seed,BestCost,Evaluations,ElapsedMs,BestFoundAt,Timestamp
tai_20_5_0,Evolutionary_p10_g10_s0,EvolutionaryParameters,0,15851,110,149.7967,110,2026-03-19T12:06:14.2961089+00:00
tai_20_5_0,Evolutionary_p10_g20_s0,EvolutionaryParameters,0,15739,210,6.2962,197,2026-03-19T12:06:14.3273427+00:00
tai_20_5_0,Evolutionary_p10_g30_s0,EvolutionaryParameters,0,15641,310,20.9604,218,2026-03-19T12:06:14.6054166+00:00
tai_20_5_0,Evolutionary_p10_g40_s0,EvolutionaryParameters,0,15215,410,194.318,383,2026-03-19T12:06:14.8134393+00:00
tai_20_5_0,Evolutionary_p10_g50_s0,EvolutionaryParameters,0,15471,510,133.4483,300,2026-03-19T12:06:14.9880449+00:00
tai_20_5_0,Evolutionary_p10_g60_s0,EvolutionaryParameters,0,15022,610,3.1627,309,2026-03-19T12:06:15.0095753+00:00
tai_20_5_0,Evolutionary_p10_g70_s0,EvolutionaryParameters,0,15659,710,5.677,688,2026-03-19T12:06:15.0159086+00:00
tai_20_5_0,Evolutionary_p10_g80_s0,EvolutionaryParameters,0,15205,810,4.0342,759,2026-03-19T12:06:15.0206282+00:00
tai_20_5_0,Evolutionary_p10_g90_s0,EvolutionaryParameters,0,15213,910,2.7239,875,2026-03-19T12:06:15.0239053+00:00
tai_20_5_0,Evolutionary_p10_g100_s0,EvolutionaryParameters,0,14943,1010,4.1593,955,2026-03-19T12:06:15.0286212+00:00
tai_20_5_0,Evolutionary_p10_g110_s0,EvolutionaryParameters,0,15270,1110,7.098,1093,2026-03-19T12:06:15.0362443+00:00
tai_20_5_0,Evolutionary_p10_g120_s0,EvolutionaryParameters,0,14783,1210,4.5564,1049,2026-03-19T12:06:15.0414766+00:00
tai_20_5_0,Evolutionary_p10_g130_s0,EvolutionaryParameters,0,15200,1310,3.5497,1239,2026-03-19T12:06:15.0456274+00:00
tai_20_5_0,Evolutionary_p10_g140_s0,EvolutionaryParameters,0,14857,1410,3.7499,1241,2026-03-19T12:06:15.0498017+00:00
tai_20_5_0,Evolutionary_p10_g150_s0,EvolutionaryParameters,0,15239,1510,7.6941,1295,2026-03-19T12:06:15.0579370+00:00
tai_20_5_0,Evolutionary_p10_g160_s0,EvolutionaryParameters,0,14830,1610,4.1396,1481,2026-03-19T12:06:15.0626178+00:00
tai_20_5_0,Evolutionary_p20_g10_s0,EvolutionaryParameters,0,15082,220,0.7575,108,2026-03-19T12:06:15.0638712+00:00
tai_20_5_0,Evolutionary_p20_g20_s0,EvolutionaryParameters,0,15173,420,1.1329,341,2026-03-19T12:06:15.0653909+00:00
tai_20_5_0,Evolutionary_p20_g30_s0,EvolutionaryParameters,0,15218,620,1.6831,590,2026-03-19T12:06:15.0674468+00:00
tai_20_5_0,Evolutionary_p20_g40_s0,EvolutionaryParameters,0,14546,820,3.0768,795,2026-03-19T12:06:15.0708976+00:00
tai_20_5_0,Evolutionary_p20_g50_s0,EvolutionaryParameters,0,14498,1020,6.107,1011,2026-03-19T12:06:15.0775131+00:00
tai_20_5_0,Evolutionary_p20_g60_s0,EvolutionaryParameters,0,15108,1220,3.6863,1038,2026-03-19T12:06:15.0817689+00:00
