Instance,Algorithm,Params,Seed,BestCost,Evaluations,ElapsedMs,BestFoundAt,Timestamp
tai_20_5_0,Evolutionary_p10_g10_s0,EvolutionaryParameters,0,17284,110,0.1893,50,2026-03-20T16:54:45.0537565+00:00
tai_20_5_0,Evolutionary_p10_g20_s0,EvolutionaryParameters,0,15834,210,0.3468,126,2026-03-20T16:54:45.0098342+00:00
tai_20_5_0,Evolutionary_p10_g30_s0,EvolutionaryParameters,0,15405,310,0.507,220,2026-03-20T16:54:44.9610353+00:00
tai_20_5_0,Evolutionary_p10_g40_s0,EvolutionaryParameters,0,14983,410,0.7105,408,2026-03-20T16:54:45.0225110+00:00
tai_20_5_0,Evolutionary_p10_g50_s0,EvolutionaryParameters,0,15006,510,0.747,486,2026-03-20T16:54:44.9164972+00:00
tai_20_5_0,Evolutionary_p10_g60_s0,EvolutionaryParameters,0,15975,610,0.9855,469,2026-03-20T16:54:45.0288787+00:00
tai_20_5_0,Evolutionary_p10_g70_s0,EvolutionaryParameters,0,15289,710,1.1351,633,2026-03-20T16:54:44.9176471+00:00
tai_20_5_0,Evolutionary_p10_g80_s0,EvolutionaryParameters,0,15539,810,1.3236,606,2026-03-20T16:54:45.0899657+00:00
tai_20_5_0,Evolutionary_p10_g90_s0,EvolutionaryParameters,0,15494,910,1.5414,888,2026-03-20T16:54:45.0086380+00:00
tai_20_5_0,Evolutionary_p10_g100_s0,EvolutionaryParameters,0,14868,1010,1.6743,964,2026-03-20T16:54:45.0057411+00:00
tai_20_5_0,Evolutionary_p10_g110_s0,EvolutionaryParameters,0,14914,1110,1.8039,994,2026-03-20T16:54:44.8598139+00:00
tai_20_5_0,Evolutionary_p10_g120_s0,EvolutionaryParameters,0,14652,1210,1.9459,1032,2026-03-20T16:54:45.0128655+00:00
tai_20_5_0,Evolutionary_p10_g130_s0,EvolutionaryParameters,0,14803,1310,2.1427,1267,2026-03-20T16:54:44.9300063+00:00
tai_20_5_0,Evolutionary_p10_g140_s0,EvolutionaryParameters,0,15045,1410,2.2601,1104,2026-03-20T16:54:44.9856759+00:00
tai_20_5_0,Evolutionary_p10_g150_s0,EvolutionaryParameters,0,15065,1510,2.443,1391,2026-03-20T16:54:44.9584543+00:00
tai_20_5_0,Evolutionary_p10_g160_s0,EvolutionaryParameters,0,15008,1610,4.0171,1094,2026-03-20T16:54:44.8847707+00:00
tai_20_5_0,Evolutionary_p20_g10_s0,EvolutionaryParameters,0,15486,220,0.3883,142,2026-03-20T16:54:44.9435951+00:00
tai_20_5_0,Evolutionary_p20_g20_s0,EvolutionaryParameters,0,15953,420,0.6355,335,2026-03-20T16:54:44.8590374+00:00
tai_20_5_0,Evolutionary_p20_g30_s0,EvolutionaryParameters,0,15108,620,0.6023,609,2026-03-20T16:54:45.0199114+00:00
tai_20_5_0,Evolutionary_p20_g40_s0,EvolutionaryParameters,0,15268,820,1.3574,678,2026-03-20T16:54:44.8690186+00:00
tai_20_5_0,Evolutionary_p20_g50_s0,EvolutionaryParameters,0,14920,1020,1.6797,644,2026-03-20T16:54:45.0199001+00:00
tai_20_5_0,Evolutionary_p20_g60_s0,EvolutionaryParameters,0,14761,1220,3.3026,1210,2026-03-20T16:54:44.9513670+00:00
tai_20_5_0,Evolutionary_p20_g70_s0,EvolutionaryParameters,0,14694,1420,3.456,1417,2026-03-20T16:54:44.9065945+00:00
tai_20_5_0,Evolutionary_p20_g80_s0,EvolutionaryParameters,0,14935,1620,2.6876,1354,2026-03-20T16:54:44.9832955+00:00
tai_20_5_0,Evolutionary_p20_g90_s0,EvolutionaryParameters,0,15136,1820,3.7116,1429,2026-03-20T16:54:44.9278445+00:00
tai_20_5_0,Evolutionary_p20_g100_s0,EvolutionaryParameters,0,14511,2020,3.4276,1565,2026-03-20T16:54:45.0067629+00:00
tai_20_5_0,Evolutionary_p20_g110_s0,EvolutionaryParameters,0,14713,2220,5.0715,1842,2026-03-20T16:54:44.9765865+00:00
tai_20_5_0,Evolutionary_p20_g120_s0,EvolutionaryParameters,0,14789,2420,3.9649,2401,2026-03-20T16:54:44.9480587+00:00
tai_20_5_0,Evolutionary_p20_g130_s0,EvolutionaryParameters,0,14570,2620,4.5059,2611,2026-03-20T16:54:44.8635376+00:00
tai_20_5_0,Evolutionary_p20_g140_s0,EvolutionaryParameters,0,14538,2820,3.858,2671,2026-03-20T16:54:44.9855527+00:00
tai_20_5_0,Evolutionary_p20_g150_s0,EvolutionaryParameters,0,14602,3020,5.1985,2353,2026-03-20T16:54:44.8714754+00:00
tai_20_5_0,Evolutionary_p20_g160_s0,EvolutionaryParameters,0,14547,3220,3.522,3214,2026-03-20T16:54:45.0664135+00:00
tai_20_5_0,Evolutionary_p30_g10_s0,EvolutionaryParameters,0,15720,330,0.571,221,2026-03-20T16:54:45.0269684+00:00
tai_20_5_0,Evolutionary_p30_g20_s0,EvolutionaryParameters,0,14711,630,1.1362,550,2026-03-20T16:54:45.0070817+00:00
tai_20_5_0,Evolutionary_p30_g30_s0,EvolutionaryParameters,0,15102,930,1.5749,913,2026-03-20T16:54:44.9440024+00:00
tai_20_5_0,Evolutionary_p30_g40_s0,EvolutionaryParameters,0,14875,1230,6.406,1191,2026-03-20T16:54:44.8579839+00:00
tai_20_5_0,Evolutionary_p30_g50_s0,EvolutionaryParameters,0,14904,1530,2.7449,1447,2026-03-20T16:54:44.9566454+00:00
tai_20_5_0,Evolutionary_p30_g60_s0,EvolutionaryParameters,0,14917,1830,7.4225,1820,2026-03-20T16:54:44.8590161+00:00
