Instance,Algorithm,Params,Seed,BestCost,Evaluations,ElapsedMs,BestFoundAt,Timestamp
tai_20_5_0,Random_10000_s12345,RandomSearchParameters,12345,15217,10000,16.6811,-1,2026-03-20T16:46:29.5714274+00:00
tai_20_5_0,Evolutionary_p100_g100_s12345,EvolutionaryParameters,12345,14556,10100,20.1858,9795,2026-03-20T16:46:29.5158478+00:00
tai_20_5_0,SimulatedAnnealing_nSwap_i10000_s12345,SimulatedAnnealingParameters,,14304,10001,19.6827,348,2026-03-20T16:46:29.5154065+00:00
tai_20_5_0,Greedy,GreedyParameters,,14286,1,2.5012,-1,2026-03-20T16:46:29.4985095+00:00
tai_20_10_0,Random_10000_s12345,RandomSearchParameters,12345,22755,10000,25.3251,-1,2026-03-20T16:46:29.7619791+00:00
tai_20_10_0,Evolutionary_p100_g100_s12345,EvolutionaryParameters,12345,21823,10100,33.3908,5805,2026-03-20T16:46:29.5289864+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i10000_s12345,SimulatedAnnealingParameters,,22024,10001,28.9109,951,2026-03-20T16:46:29.5579205+00:00
tai_20_10_0,Greedy,GreedyParameters,,21929,1,2.5209,-1,2026-03-20T16:46:29.4985096+00:00
tai_20_20_0,Random_10000_s12345,RandomSearchParameters,12345,36120,10000,60.2059,-1,2026-03-20T16:46:29.5558389+00:00
tai_20_20_0,Evolutionary_p100_g100_s12345,EvolutionaryParameters,12345,34710,10100,59.1477,9259,2026-03-20T16:46:29.5547267+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i10000_s12345,SimulatedAnnealingParameters,,34748,10001,42.0462,479,2026-03-20T16:46:29.7743350+00:00
tai_20_20_0,Greedy,GreedyParameters,,34767,1,0.5475,-1,2026-03-20T16:46:30.4044015+00:00
tai_100_10_0,Random_10000_s12345,RandomSearchParameters,12345,361873,10000,129.7554,-1,2026-03-20T16:46:29.6252978+00:00
tai_100_10_0,Evolutionary_p100_g100_s12345,EvolutionaryParameters,12345,336649,10100,128.8649,9955,2026-03-20T16:46:29.7541939+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i10000_s12345,SimulatedAnnealingParameters,,315556,10001,114.3054,9901,2026-03-20T16:46:29.6100327+00:00
tai_100_10_0,Greedy,GreedyParameters,,320314,1,41.9148,-1,2026-03-20T16:46:29.5573384+00:00
tai_100_20_0,Random_10000_s12345,RandomSearchParameters,12345,435310,10000,241.0068,-1,2026-03-20T16:46:29.7366230+00:00
tai_100_20_0,Evolutionary_p100_g100_s12345,EvolutionaryParameters,12345,410046,10100,246.8729,9751,2026-03-20T16:46:29.7425819+00:00
tai_100_20_0,SimulatedAnnealing_nSwap_i10000_s12345,SimulatedAnnealingParameters,,389324,10001,236.6917,8752,2026-03-20T16:46:29.7322508+00:00
tai_100_20_0,Greedy,GreedyParameters,,393331,1,76.5985,-1,2026-03-20T16:46:29.6324568+00:00
tai_500_20_0,Random_10000_s12345,RandomSearchParameters,12345,7929852,10000,908.1062,-1,2026-03-20T16:46:30.4037931+00:00
tai_500_20_0,Evolutionary_p100_g100_s12345,EvolutionaryParameters,12345,7622706,10100,1254.8411,10036,2026-03-20T16:46:30.7504132+00:00
tai_500_20_0,SimulatedAnnealing_nSwap_i10000_s12345,SimulatedAnnealingParameters,,7212628,10001,847.5398,9982,2026-03-20T16:46:30.3432486+00:00
tai_500_20_0,Greedy,GreedyParameters,,6834560,1,6655.0775,-1,2026-03-20T16:46:36.1509375+00:00
