Instance,Algorithm,Params,Seed,BestCost,Evaluations,ElapsedMs,BestFoundAt,Timestamp
tai_20_5_0,SimulatedAnnealing_nSwap_i20000_s22,SimulatedAnnealingParameters,,14368,20000,44.0019,779,2026-03-20T16:57:36.3612958+00:00
tai_20_5_0,SimulatedAnnealing_nSwap_i20000_s151555,SimulatedAnnealingParameters,,14366,20000,29.0075,1587,2026-03-20T16:57:39.4092438+00:00
tai_20_5_0,SimulatedAnnealing_nSwap_i20000_s5252525,SimulatedAnnealingParameters,,14339,20000,48.0473,1273,2026-03-20T16:57:36.2633474+00:00
tai_20_5_0,SimulatedAnnealing_nSwap_i20000_s6687883,SimulatedAnnealingParameters,,14181,20000,31.03,1411,2026-03-20T16:57:37.2875983+00:00
tai_20_5_0,SimulatedAnnealing_nSwap_i20000_s33331882,SimulatedAnnealingParameters,,14355,20000,66.1238,1173,2026-03-20T16:57:36.2815429+00:00
tai_20_5_0,SimulatedAnnealing_nInsert_i20000_s22,SimulatedAnnealingParameters,,14266,20000,40.9286,8658,2026-03-20T16:57:36.5054060+00:00
tai_20_5_0,SimulatedAnnealing_nInsert_i20000_s151555,SimulatedAnnealingParameters,,14231,20000,101.8274,355,2026-03-20T16:57:36.3172663+00:00
tai_20_5_0,SimulatedAnnealing_nInsert_i20000_s5252525,SimulatedAnnealingParameters,,14060,20000,38.1187,1732,2026-03-20T16:57:36.7465894+00:00
tai_20_5_0,SimulatedAnnealing_nInsert_i20000_s6687883,SimulatedAnnealingParameters,,14129,20000,69.9837,1332,2026-03-20T16:57:36.2855563+00:00
tai_20_5_0,SimulatedAnnealing_nInsert_i20000_s33331882,SimulatedAnnealingParameters,,14128,20000,33.6356,790,2026-03-20T16:57:37.0317382+00:00
tai_20_5_0,SimulatedAnnealing_nReverse_i20000_s22,SimulatedAnnealingParameters,,14575,20000,30.1681,1137,2026-03-20T16:57:37.0619333+00:00
tai_20_5_0,SimulatedAnnealing_nReverse_i20000_s151555,SimulatedAnnealingParameters,,14389,20000,38.5251,774,2026-03-20T16:57:36.2539977+00:00
tai_20_5_0,SimulatedAnnealing_nReverse_i20000_s5252525,SimulatedAnnealingParameters,,14458,20000,29.3949,1244,2026-03-20T16:57:38.7189563+00:00
tai_20_5_0,SimulatedAnnealing_nReverse_i20000_s6687883,SimulatedAnnealingParameters,,14793,20000,41.1474,733,2026-03-20T16:57:36.2960033+00:00
tai_20_5_0,SimulatedAnnealing_nReverse_i20000_s33331882,SimulatedAnnealingParameters,,14706,20000,31.3956,1074,2026-03-20T16:57:39.2469276+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i20000_s22,SimulatedAnnealingParameters,,21360,20000,50.6419,928,2026-03-20T16:57:39.3658455+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i20000_s151555,SimulatedAnnealingParameters,,21904,20000,91.6639,493,2026-03-20T16:57:36.3070246+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i20000_s5252525,SimulatedAnnealingParameters,,21711,20000,35.3175,502,2026-03-20T16:57:40.9467691+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i20000_s6687883,SimulatedAnnealingParameters,,22162,20000,34.9551,638,2026-03-20T16:57:41.0898499+00:00
tai_20_10_0,SimulatedAnnealing_nSwap_i20000_s33331882,SimulatedAnnealingParameters,,22257,20000,36.2672,213,2026-03-20T16:57:39.7710500+00:00
tai_20_10_0,SimulatedAnnealing_nInsert_i20000_s22,SimulatedAnnealingParameters,,21197,20000,70.3399,4128,2026-03-20T16:57:39.0261244+00:00
tai_20_10_0,SimulatedAnnealing_nInsert_i20000_s151555,SimulatedAnnealingParameters,,21049,20000,55.3112,1479,2026-03-20T16:57:39.3802151+00:00
tai_20_10_0,SimulatedAnnealing_nInsert_i20000_s5252525,SimulatedAnnealingParameters,,21202,20000,37.7632,410,2026-03-20T16:57:40.0793048+00:00
tai_20_10_0,SimulatedAnnealing_nInsert_i20000_s6687883,SimulatedAnnealingParameters,,21180,20000,59.3124,1880,2026-03-20T16:57:37.1212672+00:00
tai_20_10_0,SimulatedAnnealing_nInsert_i20000_s33331882,SimulatedAnnealingParameters,,21399,20000,90.1172,1408,2026-03-20T16:57:36.3716968+00:00
tai_20_10_0,SimulatedAnnealing_nReverse_i20000_s22,SimulatedAnnealingParameters,,23754,20000,57.011,2706,2026-03-20T16:57:39.1404643+00:00
tai_20_10_0,SimulatedAnnealing_nReverse_i20000_s151555,SimulatedAnnealingParameters,,22774,20000,61.4456,500,2026-03-20T16:57:36.9428645+00:00
tai_20_10_0,SimulatedAnnealing_nReverse_i20000_s5252525,SimulatedAnnealingParameters,,22363,20000,66.8039,447,2026-03-20T16:57:36.2821208+00:00
tai_20_10_0,SimulatedAnnealing_nReverse_i20000_s6687883,SimulatedAnnealingParameters,,22278,20000,57.283,1090,2026-03-20T16:57:39.0834336+00:00
tai_20_10_0,SimulatedAnnealing_nReverse_i20000_s33331882,SimulatedAnnealingParameters,,22796,20000,75.5977,574,2026-03-20T16:57:36.2909994+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i20000_s22,SimulatedAnnealingParameters,,35347,20000,164.1207,922,2026-03-20T16:57:36.3794532+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i20000_s151555,SimulatedAnnealingParameters,,34704,20000,113.668,824,2026-03-20T16:57:38.9557136+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i20000_s5252525,SimulatedAnnealingParameters,,34507,20000,76.8249,778,2026-03-20T16:57:39.7347653+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i20000_s6687883,SimulatedAnnealingParameters,,34499,20000,97.1145,809,2026-03-20T16:57:39.3151853+00:00
tai_20_20_0,SimulatedAnnealing_nSwap_i20000_s33331882,SimulatedAnnealingParameters,,34779,20000,134.7635,2619,2026-03-20T16:57:36.8813897+00:00
tai_20_20_0,SimulatedAnnealing_nInsert_i20000_s22,SimulatedAnnealingParameters,,33953,20000,97.3929,3299,2026-03-20T16:57:39.5606537+00:00
tai_20_20_0,SimulatedAnnealing_nInsert_i20000_s151555,SimulatedAnnealingParameters,,33988,20000,123.9206,2258,2026-03-20T16:57:38.8428962+00:00
tai_20_20_0,SimulatedAnnealing_nInsert_i20000_s5252525,SimulatedAnnealingParameters,,34474,20000,157.3209,894,2026-03-20T16:57:36.4644455+00:00
tai_20_20_0,SimulatedAnnealing_nInsert_i20000_s6687883,SimulatedAnnealingParameters,,34300,20000,97.179,1558,2026-03-20T16:57:39.3248887+00:00
tai_20_20_0,SimulatedAnnealing_nInsert_i20000_s33331882,SimulatedAnnealingParameters,,34169,20000,116.7337,483,2026-03-20T16:57:38.9596469+00:00
tai_20_20_0,SimulatedAnnealing_nReverse_i20000_s22,SimulatedAnnealingParameters,,35689,20000,115.169,4724,2026-03-20T16:57:36.9468494+00:00
tai_20_20_0,SimulatedAnnealing_nReverse_i20000_s151555,SimulatedAnnealingParameters,,35463,20000,144.9674,922,2026-03-20T16:57:36.7084160+00:00
tai_20_20_0,SimulatedAnnealing_nReverse_i20000_s5252525,SimulatedAnnealingParameters,,35274,20000,128.319,1324,2026-03-20T16:57:36.3917124+00:00
tai_20_20_0,SimulatedAnnealing_nReverse_i20000_s6687883,SimulatedAnnealingParameters,,35799,20000,114.6471,1138,2026-03-20T16:57:38.7967018+00:00
tai_20_20_0,SimulatedAnnealing_nReverse_i20000_s33331882,SimulatedAnnealingParameters,,34979,20000,145.7514,634,2026-03-20T16:57:37.3492560+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i20000_s22,SimulatedAnnealingParameters,,310993,20000,255.4938,19125,2026-03-20T16:57:37.3768484+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i20000_s151555,SimulatedAnnealingParameters,,311235,20000,253.9199,18733,2026-03-20T16:57:39.0507331+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i20000_s5252525,SimulatedAnnealingParameters,,310545,20000,196.3282,19289,2026-03-20T16:57:39.6055885+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i20000_s6687883,SimulatedAnnealingParameters,,311676,20000,255.8403,17276,2026-03-20T16:57:39.2155038+00:00
tai_100_10_0,SimulatedAnnealing_nSwap_i20000_s33331882,SimulatedAnnealingParameters,,316610,20000,275.8947,19417,2026-03-20T16:57:39.0753517+00:00
tai_100_10_0,SimulatedAnnealing_nInsert_i20000_s22,SimulatedAnnealingParameters,,312630,20000,256.0123,19883,2026-03-20T16:57:37.2565194+00:00
tai_100_10_0,SimulatedAnnealing_nInsert_i20000_s151555,SimulatedAnnealingParameters,,313369,20000,172.3009,19946,2026-03-20T16:57:39.7434659+00:00
tai_100_10_0,SimulatedAnnealing_nInsert_i20000_s5252525,SimulatedAnnealingParameters,,311025,20000,285.104,16027,2026-03-20T16:57:36.5004604+00:00
tai_100_10_0,SimulatedAnnealing_nInsert_i20000_s6687883,SimulatedAnnealingParameters,,313545,20000,205.2764,19975,2026-03-20T16:57:39.5711411+00:00
tai_100_10_0,SimulatedAnnealing_nInsert_i20000_s33331882,SimulatedAnnealingParameters,,309219,20000,297.1874,19849,2026-03-20T16:57:36.8825694+00:00
tai_100_10_0,SimulatedAnnealing_nReverse_i20000_s22,SimulatedAnnealingParameters,,339321,20000,281.2706,19992,2026-03-20T16:57:36.5634094+00:00
tai_100_10_0,SimulatedAnnealing_nReverse_i20000_s151555,SimulatedAnnealingParameters,,333444,20000,211.2012,19880,2026-03-20T16:57:39.5837339+00:00
tai_100_10_0,SimulatedAnnealing_nReverse_i20000_s5252525,SimulatedAnnealingParameters,,339919,20000,256.5858,19869,2026-03-20T16:57:37.2034657+00:00
tai_100_10_0,SimulatedAnnealing_nReverse_i20000_s6687883,SimulatedAnnealingParameters,,341963,20000,244.0105,19599,2026-03-20T16:57:37.5316404+00:00
tai_100_10_0,SimulatedAnnealing_nReverse_i20000_s33331882,SimulatedAnnealingParameters,,338563,20000,289.3345,19914,2026-03-20T16:57:36.5853571+00:00
tai_100_20_0,SimulatedAnnealing_nSwap_i20000_s22,SimulatedAnnealingParameters,,394747,20000,536.2381,16472,2026-03-20T16:57:39.2396321+00:00
tai_100_20_0,SimulatedAnnealing_nSwap_i20000_s151555,SimulatedAnnealingParameters,,385342,20000,618.5982,19848,2026-03-20T16:57:36.9980696+00:00
tai_100_20_0,SimulatedAnnealing_nSwap_i20000_s5252525,SimulatedAnnealingParameters,,388279,20000,616.1452,18748,2026-03-20T16:57:36.8316460+00:00
